S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
52,Ward 17,32884,वडा नं. १७ बुद्ध गल्ली पोडे टोलमा ९ वटा जति कुकुरहरुले बाटोमा हिड्ने सर्वसाधरणलाई एकदमै टोकेर तनाव दिएको भन्दै गुनासो आएको ।,3/27/2025,कृषि तथा पशुपक्षी विभाग,closed
53,Ward 32,32878,सुविधानगर तिनकुने विग मार्ट अगाडी बाटोमा हिड्ने मान्छेलाई भुसिया कुकुरले टोकेर सर्वसाधरणहरु हिडडुल गर्न गाह्रो भएको भनि गुनासो आएको ।,3/27/2025,कृषि तथा पशुपक्षी विभाग,closed
54,Ward 4,32872,धुम्वाराहि डियो ब्याड्डकेट अगाडी कुकुरलाई गाडीले ठक्कर दिएर घाइते भइ छटपटाइरहेको छ ।,3/26/2025,कृषि तथा पशुपक्षी विभाग,closed
55,Ward 31,32869,शान्ति नगर गेट ३१ वडा पछाडी विग मार्ट अगाडी एउटा कुकुरलाई लुतो आएर घाउ भएर छटपटाइरहेको छ । तुरुन्तै उपचार गरिदिनु पर्यो ।,3/26/2025,कृषि तथा पशुपक्षी विभाग,closed
56,Ward 7,32868,सिफल चौर मुनी वडा नं. ७ एउटा रोगी कुकुर छट्पटाइरहेको छ । उपचार गरिदिनु भनि गुनसाो आएको ।,3/25/2025,कृषि तथा पशुपक्षी विभाग,closed
57,Ward 14,32848,"To,
The Municipal Commissioner
Khasibazar,Kalanki
Kathmandu 

Subject: Request for Action Regarding Street Dog Disturbance

Respected Sir/Madam,

I am writing to bring to your attention the increasing issue of stray dogs in Khasibazar area near KTM malpot Kalanki which is causing inconvenience and concern among residents. The presence of these dogs has led to frequent disturbances, including aggressive behavior, barking at night.

While we understand that street dogs are also living beings and need care, their increasing population in our locality has resulted in incidents of dog bites, road accidents, and hygiene issues. We kindly request the municipal authorities to take appropriate relocation to shelters to ensure both public safety and the welfare of these animals.

. Your prompt response would be highly appreciated by the residents of our locality.

Thank you for your time and consideration. We look forward to your intervention in resolving this issue.",3/24/2025,कृषि तथा पशुपक्षी विभाग,closed
58,Ward 31,32810,कामपा ३१ वडा भिमसेनगोला कात्यायनी मन्दिर नेर एउटा कुकुर लाई गाडीले हान्दा घाइते भइ छट्पटाई रहेको छ । तुरुन्त उद्दार गरी उपचार गरिदिनुपर्यो ।,3/20/2025,कृषि तथा पशुपक्षी विभाग,closed
59,Ward 4,32783,वडा नं. ४ सुकेधारा हाइटमा फेन्डसिप हस्पिटल सगैँ जोडिएको होटलमा एउटा कुकुरको बन्ध्याकरण गर्नुपर्ने भनि गुनासो आएको ।,3/17/2025,कृषि तथा पशुपक्षी विभाग,closed
60,Ward 13,32770,वडा नं. १३ छाउनी म्युजियम स्थित १३ वटा भुसिया कुकुरहरुको बन्ध्याकरण गरिदिनु पर्यो भनि गुनासो आएको ।,3/15/2025,कृषि तथा पशुपक्षी विभाग,closed
61,Ward 31,32758,वडा नं. ३१ कारेश्वर मार्ग वेविलोन स्कुल नजिकै एउटा स्ट्रीट डगले धेरै वटा वच्चा जन्माएर समस्या भएको भन्दै बन्ध्याकरण गरिदिनु भनि गुनासो आएको ।,3/12/2025,कृषि तथा पशुपक्षी विभाग,closed
62,Ward 13,32742,वडा नं. १३ वाफल चौक भित्र कुकुरले पटक पटक झम्टिन आएको र कुनै वनरले वास्ता नगरेकोले तुरुन्तै नियन्त्रणमा लिनु हुन अनुरोध छ ।,3/10/2025,"नगर प्रहरी बल,कृषि तथा पशुपक्षी विभाग",closed
63,Ward 6,32705,Domestic dogs are led free to shit on roads making difficulty even to walk ,3/5/2025,कृषि तथा पशुपक्षी विभाग,closed
64,Ward 13,32698,छाउनी म्युजियम अगाडी विगत धेरै दिन देखि २० वटा जति कुकुरहरु त्यस ठाउँमा बस्ने र कुकुरको संख्या बढेको हुँदा कुकुर बन्ध्याकरण गरिदिनु भनि गुनासो आएको ।,3/4/2025,कृषि तथा पशुपक्षी विभाग,closed
65,Ward 4,32692,"A lot of stray dogs in Anandanagar tol, ward no 4. The stray dogs have made it difficult to walk at night and even day. It is dangerous for children and elderly and everyone in general. and the excrement from the dogs have polluted the entire neighborhood. ",3/4/2025,कृषि तथा पशुपक्षी विभाग,closed
66,Ward 29,32686,घट्टेकुलो सुर्यदय स्कुल नजिक तुलसी मार्गमा एउटा कुकुरले टोकेर धेरै दुख पायो । तुरुन्तै नियन्त्रणमा लिनु पर्यो ।,3/3/2025,कृषि तथा पशुपक्षी विभाग,closed
