S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
1,Ward 31,36379,शंखमुल सान्दार मम पछाडी साइकलमा फलफूल बेचेर बाटो नै जाम भएको छ । हटाउनुपर्यो ।,06/13/2025,नगर प्रहरी बल,open
2,NoWard,36372,एयरपोर्ट पछाडी दिब्य पार्टी प्यालेसबाट पुल तरेर १०० मि. अगाडी बाटोमा ठेलागाडा राखी व्यापार गरिरहेका छन् । हटाउनुपर्यो ।,06/12/2025,नगर प्रहरी बल,open
3,Ward 5,36371,कालोपुल र भत्केको पुलको बिच रुद्रमति मार्ग बुद्ध विहार अगाडी रहेको सार्वजनिक जग्गामा एउटा घरधनीले  ४/५ महिना देखि टहरा बनाएर निर्माण सामग्री राखिरहेका छन् भन्ने गुनासो आएको छ ।,06/12/2025,नगर प्रहरी बल,open
23,Ward 28,34329,पुतलीसडकबाट बागबजार आउने बाटो टुकुचा खोलाको छेउमा पर्पल हाउसको जस्ट अपोजिट साइडको गेटमा सार्वजनिक जग्गामा पर्खाल लगाएर पार्किङ गर्ने ठाउँ बनाएका छन् र उक्त ठाउँमा पार्किङ गर्न दिएर चर्को शुल्क उठाइरहेका छन् भन्ने गुनासो आएको छ ।,06/04/2025,नगर प्रहरी बल,open
24,Ward 10,34325,"कामपा १० वडा नयाँ बानेश्वर आईपेक्स मल पछाडी पञ्चकुमारी मार्गमा बाटोमा बाइक, गाडी पार्किङ गरेर आवतजावत गर्न कठीनाई हुनुका साथै जाम हुने गर्दछ । हटाउनुपर्यो ।",06/03/2025,नगर प्रहरी बल,open
46,Ward 16,34266,म कामपा १६ मा ट्रेकिङ्ग तथा ट्राभल्स व्यवसायी हुँ । यस वडा नं १६ को पकनाजोल मार्गमा मेरो एउटा पसल छ । म यस स्थानमा आएको वर्ष पुग्नै लाग्यो । मेरो मासिक भाडा लगभग ४० हजार छ। म वार्षिक रूपमा महानगरलाई ७० हजार रुपैंया कर पनि तिरेको छु । यस पकनाजोल चोकमा करिब ५/ ७ जना व्यक्तिहरु दैनिक रूपमा विदेशी पर्यटकलाई लक्षित गर्दै अनावश्यक रूपमा विदेशीलाई दुःख दिदै आईरहेका छन्। तिनीहरु हेर्दै डरलाग्दा र विदेशीलाई जबरजस्ती बाटो रोक्ने र वरिपरि कर तिरेर लाईसेन्स लिएर भाडा तिरेर कर तिरेर व्यवसाध गर्न बसेको मान्छे हरुको व्यवसायमा प्रत्यक्ष रूपमा व्यवधान पुऱ्याई राखेका छन् । यिनीहरु सक्रिय रूपमा संगठित रुपमा यस्तो काम गरेको देखिन्छ । नेपालको स्वतन्त्र रूपमा यात्रागर्न पाउने विदेशीको अधिकार र सरकारलाई लाखौं कर तिरेर बसेका व्यवसायीहरुको  व्यवसायमा असर पुऱ्याई राखेका छन्। विदेशीहरु ती मानिस हरुलाई देखेर भागिरहेको देख्छु । यो अति नै भयो सरकार । मेरो व्यापार नभए पनि यो विदेशी हरु माथि भएको जबर जस्ती लाई नगरपालिका बाट यथाशीघ्र सहयोग मिलोस् । साँस्कृतिक शहर समृद्ध महानगर को नारालाई यस्ता भाइरसहरुले धज्जी उडाई राखेका छन्। ,05/26/2025,नगर प्रहरी बल,open
47,Ward 13,34265,का .म.पा को पुरानो शिक्षा कार्यालय चागल देखि डल्लु जाने बाटोमा आगो लागिको कारण पोलबाट तारहरु  काटेर बाटोमा असरल्ल भएर बाटो अभरुद्ध छ तुरुन्तै उठाई दिन पर्यो |,05/25/2025,नगर प्रहरी बल,open
48,Ward 6,34251,कामपा ६ वडा रामहिटीमा हावाहुरीले गर्दा सडक पेटीको रुख र बिजुलीको पोल ढलेर सडकमा गुडिरहेका सवारी साधनहरु थिचिएका छन् । तुरुन्तै उद्दार गर्नुपर्यो ।,05/24/2025,"नगर प्रहरी बल,Disaster Management Department",open
84,Ward 3,34122,का.म.पा वडा न ३ महाराजगंज बक्रोखा गल्लि मा विधुतको पोल पुरानो भएर नया फेरेको तर पुरानो पोल तार सहित तस्तै छोडेको हुदा पोल ढल्न सक्ने  भएको हुदा त्यो पोल र तार हटाईदिनु होला |,05/05/2025,नगर प्रहरी बल,open
178,Ward 25,32876,कन्या मन्दिर स्कुल जाने गल्लीको सिट नं. १०२ -१११०४०३ कि नं. ३९७ मा श्रीकृष्ण मा.वि निजि स्कुलले अतिक्रमण गरि निर्माण कार्यको जग खनिरहेको छ । तुरुन्त रोकी कारवाही गर्नुपर्यो ।,03/27/2025,"नगर प्रहरी बल,सहरी ब्यबस्थापन  विभाग",closed
179,Ward 9,32871,तिलगंगा हस्पिटल अगाडी पटी ठेला गाडा र साइकलमा व्यापार गरेर अस्तव्यस्त भयो ।  ,03/26/2025,नगर प्रहरी बल,closed
