S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
1,Ward 14,34202,"का.म.पा वडा न १४ कलंकी  स्थित Ed-Mart Collage मा scholarship बाट अध्यनरत विधार्थीहरुलाई बिजुलीको शुल्क ,आदि शिरसक  भन्दै शुल्क मागेको अनुगमन गरि समस्याको समाधान गर्दिनु होला |",05/16/2025,शिक्षा विभाग,open
3,NoWard,34157,"श्री प्रमुखज्यू
काठमाडौँ महानगरपालिका
शाखा: शिक्षा शाखा
काठमाडौँ, नेपाल

विषय: स्कोलरशिप प्राप्त विद्यार्थीहरूबाट शुल्क असुली गरिएको सम्बन्धमा

महोदय,

सविनय निवेदन यो छ कि म एक अभिभावकको हैसियतले तपाईं समक्ष यो निवेदन पेश गर्न चाहन्छु। हालसालै काठमाडौँ स्थित नेपाल मेघा कलेजले स्कोलरशिप (छात्रवृत्ति) प्राप्त विद्यार्थीहरूबाट पनि विभिन्न शीर्षकमा अनावश्यक शुल्क असुली गर्दै आएको जानकारी प्राप्त भएको छ।

स्कोलरशिप पाएका विद्यार्थीहरू आर्थिक रूपमा पिछडिएको वर्गका प्रतिनिधि हुन् र नेपाल सरकार वा सम्बन्धित निकायको नीति अनुसार उनीहरूलाई शिक्षामा सहुलियत तथा शुल्कमा छुट प्रदान गरिनु पर्ने हो। तर यस्ता विद्यार्थीहरूबाट पुनः शुल्क लिनु शिक्षा सम्बन्धी मापदण्ड तथा न्यायिक भावना विपरित रहेको छ।

यसैले, तपाईंको आदरणीय कार्यालय समक्ष हार्दिक अनुरोध छ कि सो विषयमा आवश्यक अनुसन्धान गरि दोषी कलेज प्रशासनविरुद्ध उचित कारबाही गरियोस तथा स्कोलरशिप प्राप्त विद्यार्थीहरूको शुल्क फिर्ता गराउन आवश्यक पहल गरियोस।

तपाईंको सकारात्मक पहलको अपेक्षासहित।

बिनम्र निवेदक,
रोशन भट्ट 
९८६९९१३०९६
शंखमुल, काठमाण्डु 
२०८२/०१/२५ गते
",05/10/2025,शिक्षा विभाग,open
4,NoWard,34154,"Namaste Sir 🙏🙏
Sir, Mero Naam Prabhat Sah ho!!
Sir, Kathmandu Mahanagar 
scholarship paayekoo chu. Thank you sir!!
Sir, yo scholarship paayekoo le college ma fee tirnuu parchhaa???bibhinna sirsakhma fee mageko,
Sir parchhaa ki pardain vanea wisayea maa suchnaa prasaarn gardinuu aathwaa kunai prakaar ko chithi jaari garii dinuu vane aanurooodh chhaa sir!!!🙏🙏🙏",05/09/2025,शिक्षा विभाग,open
5,Ward 10,34145,का.म.पा.१० नं. वडा  नयाँबनेश्वर थापा गाउँमा रहेको काठमाण्डौ स्कुल अफ मेडिकल टेक्नोलोजि  कलेजले  बिद्यार्थीले कलेजमा जानकारि  गराएर बिदा बस्ता पनि जानकारि नभएको भन्दै गयल भएको दिनको रु १०० रुपैयाँले जरिमाना  लिने गारेको छ भनि गुनासो आएको । ,05/07/2025,शिक्षा विभाग,open
6,Ward 7,34126,"तपाई छात्रबृती को कुरा गर्नुहुन्छ , तर स्कुलहरु ले दिदैनन , गत बर्श मेरो छोरा छोरी ले नि पाए माहनगर को कोटा को छात्रबृती तर स्कुल ले कम्प्युटर फी बापत रु३००० प्रती महिना तिर्नु पर्यो 5500 Fee भएको स्कुल मा 3000 Computer fee लिन कत्ती को सुहाउने हो ? , तपाईं को माहनगर को शिक्षा बिभाग मा मौखिक उजुरी नि गरे तर उल्टै गाली खानु पर्‍यो, यदी आवश्यक परे मा मा सप्रमाण पेस गर्न तयार जो  छु । नोट  : यो समस्या सिफल  स्थित Texas international school स्थित को हो । ",05/01/2025,शिक्षा विभाग,open
8,NoWard,34088,Kathmandu Model College Bagbazar has said to pay 10000 every year for the kathmandu Metropolitan city selected students Please solve this problem ,04/29/2025,शिक्षा विभाग,open
9,Ward 21,34067,The Ashpodel Public School is running hostel but the problem faced by student is that around 30 students are in single room which is illigal and unhygienic. The food provided by school is also thirdclass but the take huge amount of hostel fee from them also the force student to take tuitions menditory paying 500 per period also the force to study 4 subject and the quality of education they provide is too poor. The school have non qualified teachers who just have passed 12th standerd... I know my complain is useless because our education system is not working on it. I please to Goverment once Crosss Check the school and also notice the Qualification of the teacher they meet or not.,04/25/2025,"शिक्षा विभाग,खाद्य गुणस्तर अनुगमन ",open
10,Ward 14,34048,पुरानो नैकाप हिमसिखर इस्कुलले  विधार्थीहरु लाई जबरजस्ती आफै ले चलायको  stationary  बाट किन्न लगाउने अन्त बाट ल्याउदा होमेवोर्क चेक नगर्दिने अस्वोभाबिक मूल्य असुल गर्ने गरेर बिद्यार्थीहरु लाई तनाब दिने गरको छन् नियन्त्रण गरि कारबाही गर्दिनु|,04/22/2025,शिक्षा विभाग,open
12,NoWard,33016,"Mero bachha Pinnacle academy kalanki ma UKG bata pass vaye class 1 ma janu parne , aja baisakh 2 gate admission Garda admission linna bacha dherai chak chake cha hamle bachha lai admission Lida class KO disciple bringcha vannu vayo. Bachha Ali chakchake cha Samaya Mai admission linu hunna vannu vayeko vaye Pani hami arko thaum ma herthuyaum. Esma ek tal koi samandhid bekti haru le heridinu paryo",04/16/2025,शिक्षा विभाग,open
14,NoWard,32938,"मैले महानगरको कक्षा ११ को फुल छात्रवृत्तिमा नाम निकालेर मोर्गन इन्टरनेसनल स्कुल बसुन्धरामा भर्ना भयेर पढ्न थालेकी अहिले विभिन्न शुल्क (कम्प्युटर शुल्क ) को बाहाना परी रु 30,000  
 लिएको के यो तिर्नुपर्ने नै हो । 
",04/04/2025,शिक्षा विभाग,open
