S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
1,NoWard,36376,"सर्वोच्च अदालतबाट दक्षिणपट्टी नेपाल बार एसोसियसनको अगाडी नालीमा फलामको जाली राखिएको, त्यो जालीको लेवल र सडकको लेवल नमिलेको तथा ग्याप भएको कारण बाइक, स्कुटर सडक पेटीमा उकाल्दा टायर अड्किने, चिप्लिने भएर दुर्घटना भइरहेको छ भन्ने गुनासो आएको ।",06/13/2025,सार्वजनिक निर्माण विभाग,open
2,Ward 8,34331,का.म.पा. ८ नं. वडा  अन्तर्गत कुमारिगाल सिध्दार्थ मेडिको एण्ड प्याथोलोजि अगाडिको बाटो ठेकेदारले निर्माण गर्ने क्रममा गैर जिम्मेवारि पुर्ण काम गरेको घरको अगाडि खाल्डा खुल्डि बनाइ समयमसनै नसम्याइ दिने गरेको  आफुलाइ सधन निकाल्न  अप्ठ्यारो भएको हुनसले समयमानै यसको समधान गरि दिनु भनि गुनासो आएको ,06/05/2025,सार्वजनिक निर्माण विभाग,open
3,Ward 5,34319,"का.म.पा. ५ नं. वडा भाटभटेनि मन्दिर देखि गैरि धारा जाने बाटो पिच गरेको दुई हप्ता जति मात्र भएको , साईडमा नालि  पनि  नराखेको  पिच गरेको बाटोमा  पिच उक्किन थालेको छ भनि गुनासो आएको ।",06/03/2025,सार्वजनिक निर्माण विभाग,open
4,Ward 14,34305,"कामपा १४ वडा बल्खु एमाले पार्टी कार्यालय नजिक आश्रम मार्गमा ढलान गर्ने भनी ब्लक उप्काएर छोडेको ४/५ दिन भयो । जसले गर्दा बाटो आवतजावत गर्न कठिनाई हुनुका साथै घरबाट बाइक, गाडी निकाल्न गाह्रो भइराखेको छ । तुरुन्तै बनाइदिनुपर्यो भन्ने गुनासो आएको छ ।",05/31/2025,सार्वजनिक निर्माण विभाग,open
5,Ward 3,34294,वडा नं. ३ इको पार्कमा पार्को गेट खोलिदिदाँ सर्वसाधरणलाई सहज हुने र बच्चा लगायत एडल्टलाई समेत खेलकुद मैत्री बातावरण बनाइदिनु भनि गुनासो आएको ।,05/29/2025,सार्वजनिक निर्माण विभाग,open
6,NoWard,34291,"आधिकारिक उजुरी: टुकुचा डुबान सम्बन्धमा तत्काल कारबाहीको माग
काठमाडौं महानगरपालिका कार्यालय,

म नील सरस्वती स्थान, टुकुचा क्षेत्रमा ढल निकासको अव्यवस्थापन र त्यसबाट सिर्जित वार्षिक डुबानको गम्भीर र बढ्दो समस्याका सम्बन्धमा औपचारिक उजुरी दर्ता गर्न चाहन्छु। टुकुचा करिडोरमा अनियोजित, अवैध आवास परियोजनाहरूको अनियन्त्रित विकास र वरपरका क्षेत्रहरू (जस्तै ललिता निवास, महाराजगञ्ज, पानीपोखरी र उत्तरढोका) बाट सबै ढल निकास यस तल्लो भागमा डाइभर्ट गरिएका कारण यो जटिल अवस्था सिर्जना भएको छ र अब यो असहनीय बिन्दुमा पुगेको छ।

केही वर्षअघि सडकमा सामान्य पानी जम्नु कहिलेकाहींको समस्या मात्रै थियो भने, पछिल्ला पाँच वर्षमा यो नाटकीय र विनाशकारी रूपमा बढेको छ, जहाँ बाढीको पानी घरभित्र पस्ने र कतिपय अवस्थामा झ्यालबाट समेत छिर्ने गरेको छ। व्यक्तिगत रूपमा, मैले लगातारको डुबानका कारण मेरो भुइँ तल्लाको कार्पेट, फर्श, सोफा, इलेक्ट्रोनिक्स र विद्युतीय तारहरू तीन पटक फेर्नुपर्ने ठूलो आर्थिक र भावनात्मक बोझ भोगेको छु। डुबानको डरले गर्दा भुइँ तल्ला भाडामा लगाउन नसकिने भएको छ, र हाम्रो सम्पत्तिको मूल्य यति धेरै घटेको छ कि बिक्री गरेर स्थानान्तरण गर्ने विकल्प पनि अब सम्भव छैन।

यस संकटको गम्भीरता हिजो राति परेको दुई घण्टाको वर्षाले फेरि एकपोट प्रस्ट पारेको छ, जसको परिणाम स्वरूप मेरो मोटरसाइकलको इन्जिन जाम भयो, मेरो कारको कप होल्डरमा पानी भरियो, र मेरो पूरै भुइँ तल्ला डुबानमा पर्यो। मेरो परिवार र म यो निरन्तर समस्या समाधान गर्नका लागि स्रोत, ऊर्जा र आर्थिक क्षमताले पूर्ण रूपमा थकित भइसकेका छौं।

राज्यको जिम्मेवारी हुनुपर्ने कार्यहरू यस प्रणालीगत असफलताले गर्दा बासिन्दाहरूले आफ्नो काँधमा लिन बाध्य भएका छन्। हामी दैनिक जीवन चलाउनका लागि निजी पम्प, मजदुर र अनगिन्ती अन्य स्रोतहरूमा लगानी गर्न बाध्य छौं - बिहान १ बजे उठेर शक्तिशाली पानी पम्प चलाउनदेखि लिएर फोहोर व्यवस्थापन आफैं गर्नसम्म। मेरो जस्ता घरपरिवारले मासिक रूपमा ठूलो मात्रामा आयकर तिर्दा पनि प्रभावकारी सार्वजनिक सेवाको नाममा केही पनि नपाउनु विशेष गरी आपत्तिजनक छ।

मेयर बालेन शाह, एक इन्जिनियरको रूपमा, तपाईं म जस्ता अनगिन्ती नागरिकहरूका लागि आशाको एक महत्वपूर्ण किरण हुनुहुन्छ जो यस भयावह अवस्थाबाट प्रत्यक्ष रूपमा प्रभावित छन्। यो हजारौं बासिन्दाहरूलाई असर गर्ने व्यापक समस्या हो भन्ने हामी बुझ्छौं। तत्काल र निर्णायक कारबाही आवश्यक छ। हामी काठमाडौं महानगरपालिका कार्यालयलाई यस जटिल मामिलामा तत्काल हस्तक्षेप गर्न र दिगो समाधानहरू लागू गर्न हार्दिक अनुरोध गर्दछौं।",05/29/2025,"सार्वजनिक निर्माण विभाग,Disaster Management Department",open
7,NoWard,34287,काठमाडौं महानगर वडा १६ मेरो घरमा हलै वडा १६ र वडा २६ को सिमाना बाटो म्हैपी मन्दिर आसपास ढल निर्माण भयो। उक्त काममा ठेकेदारले खानेपानीको पाइप भत्केपछि शाखा लाइनमा जोड्ने काम मेरो घरकोमा गरेनन। अरुसँग पैसा लिएर जोडेको तर मैले पैसा दिन नमाने पछि जोडेनन। निशुल्क मेरो घरको खानेपानीको लाइन जोडिदिन आग्रह गर्दछु।,05/28/2025,सार्वजनिक निर्माण विभाग,open
8,Ward 26,34285,"यस काठमाडौं महानगरपालिका वडा नम्बर २६, सामाखुसी स्थित गोङ्गबु देखि ठमेल जाने बाटो को आत्मा ग्यान प्रचार सङ्घ बाट रेडन कलेज जाने बाटो को करिब ५० मीटर तिर पिच बाटो धसेको हुनाले सवारी  साधन गुडडा घर थर्किने तथा विभिन्न दुर्घटना भइरहेको र भविष्यमा हुने सम्भावना भाको हुनाले यस सम्बन्धमा ध्यानाकर्षन गरी यस स्थलमा बाटो  मर्मत गरिदिनु हुन हार्दिक अनुरोध गर्दछु । ",05/27/2025,सार्वजनिक निर्माण विभाग,open
9,Ward 4,34269,वडा नं. ४ स्थित रसियन एमबेसी पछाडी विगत १ हप्तादेखि पोलमा बत्ती नभएको भन्दै तुरुन्त बत्ति जडान गरिदिनु भनि गुनासो आएको ।,05/26/2025,सार्वजनिक निर्माण विभाग,open
10,Ward 7,34267,The overhead bridge construction in Mitrapark has not been completed..This project was started due to the immense traffic in Mitrapark to construct a safe way for the citizens to reach from one side to the other. The overhead bridge is much needed in Mitrapark and we would be grateful if it was completed on time. ,05/26/2025,सार्वजनिक निर्माण विभाग,open
11,Ward 4,34261,वडा नं ४ स्थित अन्नपुर्ण मार्गमा चप्पल कारखाना नजिकै  अन्टिजम स्कुलको आसपासमा विजुली बत्ती नभएको कारण समस्या भएको भनि गुनासो आएको ,05/25/2025,सार्वजनिक निर्माण विभाग,open
12,Ward 9,34258,"हाल काठमाण्डौं महानगरको अन्तर्राष्ट्रिय विमानस्थल अगाडिका ट्राफिक लाइटहरू लामो समयदेखि काम नगरेको अवस्थामा छन्। यसका कारण दिनहुँ जामको समस्या चर्किएको छ, र यात्रुहरू, विशेषगरी विदेशी आगन्तुकहरू, हाम्रो सहरको ट्राफिक व्यवस्थाबाट निकै असन्तुष्ट छन्।

यस्ता संवेदनशील स्थानमा ट्राफिक व्यवस्थापन प्रभावकारी नहुनु न केवल सहरको छवि बिग्राउने कार्य हो, तर सम्भावित ठूला दुर्घटनाको जोखिम पनि निम्त्याउने खालको लापरबाही हो। यदि महानगरले यस समस्यालाई गम्भीरतापूर्वक नलिएको हो भने यो चिन्ताको विषय हो; र यदि गम्भीरतापूर्वक लिएको हो भने अहिलेसम्म मर्मत तथा पुनः सञ्चालन किन भएको छैन भन्ने प्रश्न उठ्दछ।

हामी नागरिकको तर्फबाट तपाईंको कार्यालयलाई यस समस्याको शीघ्र समाधान गर्न हार्दिक अनुरोध गर्दछौं। दुर्घटना हुन नदिन र ट्राफिक व्यवस्थापनलाई सुदृढ पार्न ट्राफिक लाइटको मर्मत तथा नयाँ प्रविधिमा सुधार गर्ने कार्यमा तत्काल पहल होस् भन्ने अपेक्षा लिएको छु ।",05/25/2025,सार्वजनिक निर्माण विभाग,open
13,Ward 16,34244,"नमस्ते 
म म्हैपी वडा १६ देखि।
म्हैपीमा निर्माण भईरहेको ढलको काममा खानेपानीको पाइप जडानमा ठेकेदार र कामदारले लापरबाही गरेका छन। खानेपानीको मेन लाइन भत्केपछि हाल्ने काम गरेपनि गल्लिमा पठाएको शाखा पाइप जडानमा ढिला गर्ने, जोड्न परेमा घरपेटीसँग पैसा माग्ने तथा जोड्ने सकेट, पाइप र ज्याला मागेर दुख दिएका छन। मेयरले बुझेर समस्या निवारण गरिदिएमा खुशी हुनेथियौं।",05/24/2025,सार्वजनिक निर्माण विभाग,open
14,NoWard,34242,"Hamro yaha sadak nirman ko naam ma yaha awasthit ghar lai cheti pugne gari nirman gariyeko sathai yaha ko sambansmdid sthaniya ko gunaso nasuniyeko ra barambar nirman sthal ma bhayeka site heriraheka engineer haru lai afno gunaso pokhda janai ulto mahanagar ko naam liyera uniharu jasto mapdanda banayeko cha testai matra hune bhanera manmani gariyeko
Sathai jun sadak pahila thiyo testai banaunu bhanda jhan mildaina bhanera kebal uniharulai paipareko hisabley nirman karya bhairaheko
Tesaile yo gunaso ko chito bhanda chito response gari hamro road hamro sahuliyat ko hisab ley banaidinu huna anurodcha 
Yo sadak nirman ko karya ma hamro gunaso patak patak byakta garda mahanagar ko karmachari dekhi liyera kasailey nasunidiyeko huda maile yo complaint gareko ho ",05/24/2025,सार्वजनिक निर्माण विभाग,open
15,Ward 2,34236,का.म.पा.२ नं. वडा लाजिम्पाट आन्तरिक राजश्व कार्यलय आस पास सडकमा  खाल्डा खुल्डि  परेको हुँदा सवारि साधनमा आवत जावत गर्न समस्या भएको एक्सिडेन्ट हुने डर भएको हुनाले समयमानै  यसको समधान गरिदिनु भनि गुनासो आएको ।,05/21/2025,सार्वजनिक निर्माण विभाग,open
16,Ward 26,34225,"यस काठमाडौं महानगरपालिका वडा नम्बर २६, सामाखुसी स्थित गोङ्गबु देखि ठमेल जाने बाटो को आत्मा ग्यान प्रचार सङ्घ बाट रेडन कलेज जाने बाटो को ५० मीटर तिर बाटोमा पिच बाटो धसेको भाकोले आवत जावतमा अफ्ट्यारो भाको र यस्ले गर्दा विभिन्न दुर्घटना भइरहेको र भविष्यमा हुने सम्भावना भाको हुनाले यस सम्बन्धमा ध्यानाकर्षन गरी यस स्थलमा बाटो पिच तथा मर्मत गरिदिनु हुन हार्दिक अनरोध गर्दछु । 
",05/20/2025,सार्वजनिक निर्माण विभाग,open
17,Ward 16,34208,वडा नं. १६ बालाजु बाइपास चौक लेखनाथ सडक तर्फ जाने बाटोमा एकदमै धुलो उडेर बस्नै नसक्ने भयो भनि गुनासो आएको । ,05/16/2025,सार्वजनिक निर्माण विभाग,open
18,Ward 16,34204,काठमाण्डौ  महानगरपालिकाले बिभिन्न ठाँऊमा फल्चा बनाएको स्थानहरुमा सगै ट्वाइलेट पनि बनाइदिनु  र बसन्तपुरमा एउटा मात्र ट्वाइलेट भएको त्यो पनि असाध्यै फोहोर भएको हुनाले आधुनिक ट्वाइलेट बनाइ दिनु पर्यो  भनि गुनासो आएको ।,05/16/2025,सार्वजनिक निर्माण विभाग,open
19,Ward 26,34200,वडा नं. २६ सामाखुशी आत्मज्ञानबाट ठमेल जाने बाटो तर्फको सहायक बाटो पुरै भासिएर हिड्न असहज भएको भनि गुनासो आएको ।,05/15/2025,सार्वजनिक निर्माण विभाग,open
20,Ward 26,34199,वडा नं. २६ सामाखुशी आत्मज्ञानबाट ठमेल जाने बाटो तर्फको सहायक बाटो पुरै भासिएर हिड्न असहज भएको भनि गुनासो आएको ।,05/15/2025,सार्वजनिक निर्माण विभाग,open
21,Ward 2,34183,का.म.पा.२ नं.वडा  नारायणहिटी उत्तर पट्टिको सडक  पेटी एक साइड मात्र बनाएको र एक साइडको पेटी नबनाएको चाडै बनाइदिनु पर्यो  भनि गुनासो आएको । ,05/13/2025,सार्वजनिक निर्माण विभाग,open
22,Ward 31,34168,"का.म.पा. ३१ नं.वडा  शंखमुल सुरुचि/ गणेश मार्गमा टुडाल कन्स्ट्रक्सन प्रा.लि.ले  बाटो पिच गर्दा पानि बग्ने  
 ड्रेन एक  साईड मात्र राखेको र बाटो पिच गर्दा पनि नमिलाई गरेको भनि गुनासो आएको ।",05/11/2025,सार्वजनिक निर्माण विभाग,open
